"nombre","web","linkedin","especialidades","ubicacion"
"baitcon","https://www.baitcon.com","https://www.linkedin.com/company/baitcon-gd","transformación digital, innovación digital, sap s/4hana, successfactors, sap cloud platform, iot, sap leonardo, sap fiori, soluciones cloud, hybris, agile digital core y hr quick package.","buenos aires"
"bank","https://www.banksa.com.ar","https://www.linkedin.com/company/bank-argentina","logística integral, distribución y última milla, gestión de almacenes (wms), logística para e-commerce, gestión de stock y fulfillment, cadena de suministro, logística documental, administración de documentos, guarda y custodia de archivos, digitalización de documentos, gestión de archivos físicos, resguardo de medios magnéticos, transformación digital, firma digital y electrónica, gestión de procesos documentales, soluciones tecnológicas para rrhh, digitalización aduanera (psad), optimización de procesos, sod y servicios de outsourcing.","buenos aires"
"beon","https://beon.la","https://www.linkedin.com/company/beon-digital-transformation-partners","e-commerce, transformación digital, consultoría, business intelligence, negocios digitales, emerchandising, estrategia, plataformas digitales, gestión, asesoría, comercio electrónico, consumo masivo, cpg, fmcg, análisis de datos, data analytics, digital sales y ai.",
"besmart","https://besmart.company","https://www.linkedin.com/company/besmart-argentina","advanced business analytics & services, predictive solutions for risk, marketing & customer intelligence, decision engine, cloud, mobile, on premise digital marketing automation platforms y data mining & statistics software.",
"biactiva","http://www.biactiva.com","https://www.linkedin.com/company/biactiva","business intelligence y marketing y publicidad.","buenos aires"
"big tree","https://www.bigtree.ar","https://www.linkedin.com/company/bigtree-studio","servicios y consultoría de ti.",
"bluedraft","https://www.bluedraft.com.ar","https://www.linkedin.com/company/bluedraft","planificaciñon estratégica, presupuestación, consolidación financiera, cash flow, auditoría interna, controlling financiero, business intelligence, qlik, power bi, tecnologías de la información, big data, service design, design thinking, data analytics, analisis de datos, machine learning, data science, analytics, planning, soluciones analiticas, bi, it, datos y data.","buenos aires"
"boolear","https://boolear.com","https://www.linkedin.com/company/boolear","servicios y consultoría de ti.",
"buffa","https://bs.com.ar","https://www.linkedin.com/company/buffa-sistemas-s-r-l-","desarrollo de software, servicios profesionales, capacitación, consultoría en rrhh, consultoría tecnológica , servicios de desarrollo y instituto de tecnología.",
"cardinal systems","https://cardinal-systems.com","https://www.linkedin.com/company/cardinal-paperless-experts","paperless, recibos de sueldo digital, legajo digital , firma digital, firma electrónica y gestor documental.","buenos aires"
"cda informatica","http://www.cdainfo.com","https://www.linkedin.com/company/cda-informatica","proyectos llave en mano, mantenimiento de sistemas, software factory, recursos profesionales, servicio de qa/qc, soluciones sap, desarrollo de sistemas, soluciones mobile, aseguramiento y control de la calidad, celulas agile, testing automatizado y rpa.","buenos aires"
"certant","https://www.certant.com","https://www.linkedin.com/company/certant","identity management, aplicaciones mobiles, desarrollo de software, e-banking, comunicaciones internas, soluciones it, consultoría en sistemas, ingeniería de software, gestión de identidades, idm, proyectos de software y seguridad informática.",
"cessi","https://cessi.org.ar","https://www.linkedin.com/company/camara-de-la-industria-argentina-del-software-cessi","tecnología, software, informática, desarrollo, programación y sistemas.","buenos aires"
"ceven","https://www.ceven.com","https://www.linkedin.com/company/ceven-sa","fabricación de ordenadores, periféricos y artículos electrónicos.","buenos aires"
"cfotech","https://www.cfotechlatam.com","https://www.linkedin.com/company/cfo-tech-latam","desarrollo de software, qa & testing, marketing online, outsourcing, networking, automatizacion, llave en mano, desarrollo a medida, angular .net, c#, c, java phyton, bi, itil y metodologias agiles scrum, gestion de proyectos, herramientas: jira, sharepoint y consultoría.","buenos aires"
"circo studio","https://circostudio.io","https://www.linkedin.com/company/circostudio","sqlserver, .net, azure, office 365, power platform, amazon, ia, 3d print, inteligencia artificial, power bi y java.","buenos aires"
"cloud legion","https://cloudlegion.com.ar","https://www.linkedin.com/company/cloud-legion","security, cloud, cloud security, devsecops, seguridad en desarrollo, seguridad gestionada, cumplimiento, iso 27001, infraestructura agil, devops, seguridad, automatizacion, amazon web services, devsecops y squad.",
"codea it","https://www.codeait.com/es","https://www.linkedin.com/company/codea-it","software development, mobile, it outsourcing, análisis y desarrollo, software factory, product development, it manpower, it staff augmentation, cloud management, software testing, ui/ux design, mobile development, onsite software development, offshore software development, nearshore software development, video games development, infrastructure management, staffing y staff augmentation.",
"codes","https://www.codes.com.ar","https://www.linkedin.com/company/codes-s.a.","automatización de procesos industriales, desarrollo de soluciones a medida, integración e implementación, programación java, programación open source, programación plataforma microsoft, servicios de infraestructura it, servicios oracle y software factory.",
"codetria","https://www.codetria.com","https://www.linkedin.com/company/codetria","servicios y tecnologías de la información.",
"colpix","https://www.colpix.net","https://www.linkedin.com/company/colpix","desarrollo de software, tecnología de la información, integraciones de sistemas, soluciones it y desarrollo de aplicaciones mobile.",
"compusistem","https://www.compusistem.com","https://www.linkedin.com/company/compusistem-s-a-","desarrollo y venta de software, venta, instalación y ,mantenimiento de hardware, servicios de prestación de personal informático, liquidación de sueldos y jornales, biometría , onboarding, validación de identidad, firma digital certificada, vacaciones comunicaciones y evitar fraude.","buenos aires"
"condor technologies","https://condortech.com.ar","https://www.linkedin.com/company/condor-technologies","voice network evolution, value added services, business communications, converged charging, multimedia messaging, rich communications, mvno, oss/bss, professional services, policy, ims, ftth, fans, acs y agcf.",
"consulting services","https://cservices.com.ar","https://www.linkedin.com/company/consulting-services-s-r-l-","infraestructura, seguridad informática, outsourcing, soporte migraciones, virtualization, storage, patch management, disaster & recovery, backup, deduplication, firewall y utm.","buenos aires"
"consultoria global","https://www.consultoriaglobal.com.ar","https://www.linkedin.com/company/consultoria-global-s-a-","servicios y tecnologías de la información.","buenos aires"
"cresium","https://cresium.com","https://www.linkedin.com/company/cresium","fintech, b2b, finanzas, empresas, financiera, inteligencia artificial, cobros y pagos.",
"cronon tecnologia","https://www.cronon.com.ar","https://www.linkedin.com/company/cronon-tecnologia-s.r.l","fabricación de equipos informáticos.","buenos aires"
"crowdar","https://crowdar.com.ar","https://www.linkedin.com/company/crowdar","functional testing, automation testing, stress testing, security testing, performance testing, coaching qa, devops, devsecops, kubernetes, cloudops, testing de software, calidad de software, ia y genia.",
"ctl","https://www.ctl.com.ar","https://www.linkedin.com/company/ctl-information-technology","field support, service desk, cybersecurity, noc, soc, bi, logisitca it, zabbix, wazuh y glpi.",
"cys","https://cys.com.ar/es/home","https://www.linkedin.com/company/c&s-informatica-s.a.","software, talent outsourcing}, implementación ia, soluciones tecnológicas a medida, desarrollo de software, recruiting it, consultoría it, transformación digital, investigación, desarrollo e innovación (i+d+i), modernización de sistemas y transformación digital.",
"danaide","https://danaide.com.ar/es","https://www.linkedin.com/company/danaide","software development, surveillance software and services, hardware development, java, c++, php, .net y core.","buenos aires"
"danwor","https://danwor.com","https://www.linkedin.com/company/danwor","consultoría informática, business intelligence, datawarehouse, big data, sap analytics cloud, analytics, power bi, sap bw, sap hana, sql server, oracle data integrator, sap, sap bw/4 hana, tableau, data science, machine learning, analisis predictivo, internet of things, sap bpc, sap bw/4hana, sac planning, sac, datasphere, data intelligence, big query, looker, gcp y datawarehouse cloud.",
"datafactory","https://www.datafactory.la","https://www.linkedin.com/company/datafactory-la","data feed, html center, data history, notas algorítmicas, estadística deportiva, milestones, data tv, outsourcing, soluciones, información deportiva y datastorytelling.","buenos aires"
"datamind","https://www.data-mind.com.ar","https://www.linkedin.com/company/data-mind-analytics","business intelligence, data integration, business analytics, data mining, big data, data visualization, self-service analytics y mobile.",
"datastar","https://www.datastar.la","https://www.linkedin.com/company/datastar-tecnologia-it","hp services, oracle, servicios it, software, cloud computing, integración de tecnologías, soluciones tecnológicas, big data y data centers.","buenos aires"
"datawise","https://datawise.com.ar","https://www.linkedin.com/company/datawise","big data, seguridad it, protección de datos, datacenter, infraestructura, hiperconvergencia, carteleria digital, printing solutions, soporte especializado, bases de datos y cartelería digital.","buenos aires"
"datco","https://grupodatco.com","https://www.linkedin.com/company/grupodatco","analytics, aplicaciones de negocios y gestión, comunicaciones, infraestructura it, iot, servicios cloud, soluciones para gobierno, soporte y mesa de ayuda, ciberseguridad, consultoría, desarrollo, ftth, conectividad sigfox, realidad aumentada y inteligencia artificial.","buenos aires"
"dba24","https://dba24.com.ar","https://www.linkedin.com/company/dba24","mantenimiento de base de datos, bussiness intelligence, datawarehouse, performance, seguridad y auditoria, soluciones oracle, power bi, analytics, big data, microsoft data platform, oracle database, oracle database migration, microsoft sql server 2016, microsoft sql server bi, sql server migration, microsoft cluster, reporting server, azure, migración de datos, integración de datos y optimización de base datos.",
"dedalord","https://dedalord.com","https://www.linkedin.com/company/dedalord-s-r-l","videojuegos.","buenos aires"
"deloitte","https://www.deloitte.com/latam/es.html","https://www.linkedin.com/company/deloitte","consulting, financial advisory, risk management, audit & assurance y tax & legal.","buenos aires"
"desba","https://www.desba.net","https://www.linkedin.com/company/desba","nos enfocamos en la implementación de proyectos mes, business intelligence y cpm, recolección de información del proceso de producción en tiempo real, análisis de tiempo muerto e integración a los sistemas erp, desarrollo de software, soporte y mantenimiento de infraestructura y bases de datos, emi: inteligencia en manufactura, business intelligence, corporate performance management y portals & collaboration.",
"despegar","https://www.despegar.com.ar","https://www.linkedin.com/company/despegar","technology, it, machine learning, internet, e-commerce, digital, travel, experiences, app, data science, flight y artificial intelligence.","buenos aires"
"devolving tech","https://d3evolvingtech.com","https://www.linkedin.com/company/d3","software development, software consulting, staff augmentation, tailor made, development software, tech experts, high performance teams, insource & outsource teams, cost reduction , experienced developers, custom software development, global operations center - based in argentina. y prompt and scalable systems.",
"digex","https://www.digex.com.ar/landing","https://www.linkedin.com/company/digex-srl","desarrollo de software.","buenos aires"
"digital file","https://www.digitalfile.com.ar","https://www.linkedin.com/company/digital-file-s.a.","software development, software consulting, software solutions, infrastructure management, email marketing y ip telephony.","buenos aires"
"dinamo","https://dinamo-it.com","https://www.linkedin.com/company/dinamo-it","servicios y consultoría de ti.","buenos aires"
"dinatech","https://dinatech.com.ar","https://www.linkedin.com/company/dinatech-sa","servicios y consultoría de ti.","buenos aires"
"dirmod","https://www.dirmod.com","https://www.linkedin.com/company/dirmod","software development, cloud strategies, digital transformation, aws, gcp, public sector transformation, mobile development, big data, business intelligence, data management, middleware, ai, agile delivery, iot, azure, cloud migration y hybrid cloud.",
"disruptive","https://www.disruptive-sw.com","https://www.linkedin.com/company/disruptive-sw","inteligencia artificial, automatizaciones, vision artificial, webflow, flutterflow, automatización de procesos, software a medida, integración de sistemas, transformación digital, ai agents, chatbots inteligentes, computer vision, desarrollo de productos digitales y escalabilidad operativa.","tucuman"
"disytel","https://www.disytel.com","https://www.linkedin.com/company/disytel","openconsulting, erp, social crm, business inteligent, open source, software libre y código abierto.",
"documentos aduaneros","https://documentosaduaneros.com","https://www.linkedin.com/company/documentos-aduaneros-s.a.","desarrollo informático, factura electrónica, desarrollo de software de gestión y administración de datos y prestador de servicios de archivo y digitalización certificado por afip.","buenos aires"
"dotech","https://dotech.com.ar","https://www.linkedin.com/company/dotechsa","servicios y tecnologías de la información.",
"einsted","https://einsted.bio","https://www.linkedin.com/company/einsted","tecnología energética.","buenos aires"
"eldar","https://eldar.la/es","https://www.linkedin.com/company/eldar-arg","ux/ui, consulting, product acceleration, software development, programming, desarrollo de software, ai, global electronic payment solutions, payment security y mobile payments.","buenos aires"
"emm","https://www.emmsa.net","https://www.linkedin.com/company/emmsaitservices","project management • engineering and systems analysis requirement • software design y development and implementation.","buenos aires"
"emprendimientos satelitales","https://www.empsat.com.ar","https://www.linkedin.com/company/emprendimientos-satelitales","desarrollo de software.","buenos aires"
"enfoke","https://www.enfoke.com","https://www.linkedin.com/company/egessoftwarecentrosdiagnostico","servicios y tecnologías de la información.",
"enterprise data solutions","https://www.eds-connection.com","https://www.linkedin.com/company/eds-enterprise-data-solutions","automated attendance, voice recognition software, ip telephony y customer journey.","buenos aires"
"entornos educativos","https://entornos.net","https://www.linkedin.com/company/entornos-educativos","implementación de moodle, educación a distancia, acompañamiento pedagógico e- learning, soporte técnico moodle, atención personalizada a cada proyecto, consultoría moodle, creación de cursos e-learning, creación de materiales y capacitación.","buenos aires"
"entradauno","https://soluciones.entradauno.com","https://www.linkedin.com/company/entradauno","servicios y tecnologías de la información.","buenos aires"
"epidata","http://www.epidataconsulting.com/es","https://www.linkedin.com/company/epidata","software architecture, performance y tunning, software engineering, development & maintenance, open source, ux, ui, staff augmentation, software integration, iot, gamification, software development, agile development, mobile, wereable, rpa, bigdata, ia, testing y q&a.",
"equilybrio group","https://www.equilybrio.ar","https://www.linkedin.com/company/equilybriogroup","soluciones cloud, administración it para empresas, seguridad informática, desarrollo de software, auditoría de sistemas, ciberseguridad, cibercrimen, pla/ft, criptoeconomía y blockchain, venta y alquiler de hardware, electrodomésticos y electrónica, domótica y telefonía, insumos de oficina y ai prompt engineering.",
"esto es","https://www.estoes.me","https://www.linkedin.com/company/estoes","desarrollos web, software factory, transformación digital, consultoria ia y implementacion de ia.",
"exo","http://www.exo.com.ar","https://www.linkedin.com/company/exo-oficial","servicios y consultoría de ti.","buenos aires"
"expertice","https://www.expertice.com.ar","https://www.linkedin.com/company/expertice","servicios y consultoría de ti.","buenos aires"
"farmarecord","https://www.farmarecord.com.ar","https://www.linkedin.com/company/farmarecord-s.a.","fabricación de productos farmacéuticos.","buenos aires"
"fds","http://www.fdscomunicacion.com","https://www.linkedin.com/company/fdscomunicacion","advertising, redes sociales, crm, zoho bigin, automatización comercial, whatsapp business, chatbots, generación de leads, google ads, meta ads y asistentes de ia.",
"ficom","https://www.ficomza.com","https://www.linkedin.com/company/ficomza","telecomunicaciones.","mendoza"
"fk tech","https://www.fktech.net","https://www.linkedin.com/company/fk-tech-srl","desarrollo de software, soluciones, custom software development, software factory, desarrollo de software a medida y soluciones personalizadas.","buenos aires"
"flock it","https://flockit.com.ar/sp/index","https://www.linkedin.com/company/flockitok","servicios y consultoría de ti.",
"fusap","https://fusap.com.ar","https://www.linkedin.com/company/fusap","sistemas informaticos, consultoria it, diseño, programación y testing y capacitación tecnológica.",
"g&l","https://www.gylgroup.com","https://www.linkedin.com/company/g&l-group","diseño, desarrollo e implementación de soluciones innovadoras con tecnologia de la información.","buenos aires"
"gestion compartida","https://gestioncompartida.com.ar","https://www.linkedin.com/company/gcompartida","servicios profesionales, servicios de rrhh, digitalización de archivos, administración de riesgos, servicios de administración, tecnología, control de contratistas, outsourcing de compras, comercio exterior y capacitación.","buenos aires"
"general plastic","https://www.gpc-sa.com.ar","https://www.linkedin.com/company/gpc-sa","tarjetas plásticas, tarjetas laminadas cr80, tarjetas con chip, tarjetas impresas en offset y/o serigrafía, tarjetas con banda magnética laminada, tarjetas de pvc de 760 micrones (0.030""), tarjetas con panel de firma y holograma, máquinas, servicios y perso emv.","buenos aires"
"gestion it","https://gestionit.com.ar","https://www.linkedin.com/company/gestion.it","testing y calidad de software -testing factory -metodología -automatización -test plan -análisis de riesgos - istqb *desarrollo, implementación y mantenimiento de software * sistema bancario de cash management , qa, homologacion, calidad, procesos, tecnologia, cash managment, cursos istqb, cursos y talleres en tecnologias agiles, testing, analistas funcionales, iso9001/2015 en procesos de testing, testing en performance, testing en sap, testing factory, talleres y cursos a medida de testing, procesos, y servicios, certificacion istqb, partner gold de istqb y consultoría.",
"gire","http://gire.com","https://www.linkedin.com/company/gire-s","transactional services y financial services.",
"gld consultores","https://www.gldconsultores.com",,"consultoría y desarrollo de sistemas informáticos.","buenos aires"
"global","https://globalthink.io","https://www.linkedin.com/company/globalthinktechnolology","servicios y tecnologías de la información.","cordoba"
"global processing","https://www.globalprocessing.com.ar","https://www.linkedin.com/company/globalprocessing","servicios financieros.","buenos aires"
"globant","https://www.globant.com.ar","https://www.linkedin.com/company/globant","ai, blockchain, iot, big data, digital content , gaming, design, ux, agile, mobile, scalable platforms, cloud ops, cybersecurity, future of organizations, product acceleration, sustainability, life sciences, healthcare, data, consultancy, metaverse, enterprise, sap, oracle, servicenow, media & entertainment, airlines, healthcare, staffing, gaming, low code, super apps y process optimization.",
"globemind","https://globemind.com","https://www.linkedin.com/company/globemind","software develepment, web software, project management, software, face recognition, mobile apps, agile methodologies, iot, innovation, mobile apps, product owner y digital transformation.",
"grava","https://grava.io/en/home","https://www.linkedin.com/company/grava-digital","ingeniería en sistemas, desarrollo digital, servidores, diseño de identidad, ux / ui, mobile apps, programacion, arquitectura de sistemas, node.js, php, mongodb, angular.js, react.js, ionic, sawtooth, consultoria ti, desarrollo web, desarrollo de aplicaciones, desarrollo de software personalizado y analítica empresarial.",
"grit","https://grit.com.ar","https://www.linkedin.com/company/gritservicios","ciberseguridad, soporte técnico, infraestructura it, consultoria it/ot y cloud services.","buenos aires"
"grupo esfera","https://www.grupoesfera.com.ar","https://www.linkedin.com/company/grupo-esfera","desarrollo de software, software development, agile, excelencia técnica, testing, capacitaciones, arquitectura de sistemas, modernización de software, coaching, transformación digital y software engineering.",
"grupo mercel","https://www.grupomercel.com","https://www.linkedin.com/company/grupomercel","outsourcing, staff augmentation, headhunting, software development y architecture consutling.","buenos aires"
"grupo msa","https://www.msa.com.ar","https://www.linkedin.com/company/grupo-msa","solución integral para procesos electorales, show de drones, diseño y economía bursatil.","buenos aires"
"grupo net","https://www.gruponet.com.ar","https://www.linkedin.com/company/grupo-net-s-a-","comercialización de soluciones de tenología informática.","buenos aires"
"grupo nucleo","https://www.gruponucleo.com.ar","https://www.linkedin.com/company/grupo-n%C3%BAcleo","informática y tecnología.","buenos aires"
"grupo tbt","http://www.grupotbt.com","https://www.linkedin.com/company/grupo-tbt","servicios y consultoría de ti.","buenos aires"
"hipernet","https://www.hipernet.com.ar","https://www.linkedin.com/company/hipernet-s-a-","sistemas erp industriales, sistema de comercio exterior y sistema de reclutamiento de personal.",
"iatasa","https://www.iatasa.com","https://www.linkedin.com/company/iatasaing","ingeniería, dirección de proyectos, infraestructura, obras públicas, emprendimientos industriales, direccion de obras, gerenciamiento de obras y consultoria.","buenos aires"
"ideas in motion","http://www.ideas-inmotion.com","https://www.linkedin.com/company/ideas-in-motion-srl","desarrollo de software.","buenos aires"
"ike","https://institucional.ike.ar","https://www.linkedin.com/company/ike-argentina","servicios para el individuo y la familia.","buenos aires"
"implementar consultores","https://implementar.com.ar","https://www.linkedin.com/company/implementar-consultores-srl","búsqueda, evaluación y selección de recursos humanos., capacitación a la medida de las necesidades de la organización., elaboración de informes de aptitudes técnicas en ámbito de tecnología informática y elaboración de informes de competencias.","buenos aires"
"imr & asociados","https://imrconsulting.com","https://www.linkedin.com/company/imr-asociados","business process management, it solutions implementation, management consulting, it efficiency management, oil & gas, it process management, change management, operations strategy management, corporate performance management, internal audit, sox compliance, artificial intelligence, genia y asset management.","buenos aires"
"informatica total","http://informaticatotal.com.ar","https://informaticatotal.com.ar","software para transferencias bancarias.",
"infosis","https://infosis.tech","https://www.linkedin.com/company/infosis-tech","erp, desarrollo cloud y mobile, soluciones tecnológicas, software de negocios, sistema de gestión, software erp, software de gestión, comercio electrónico, sistemas personalizados, sistemas de trazabilidad y gestión sustentable.",
"inside one","https://www.insideone.cloud","https://www.linkedin.com/company/insideone","transformación digital, automatización, omnicanalidad, contact center, inteligencia artificial y ia generativa.","buenos aires"
"insidetech","https://www.insidetech.com.ar","https://www.linkedin.com/company/inside-tech","soporte en tecnolgía, servicios de consultoría, productos, base de datos, devops, observabilidad, staffing, automatización, cloud y itsm.",
"intec","http://www.intecsoft.com.ar","https://www.linkedin.com/company/intec-software","servicios y tecnologías de la información.",
"interconnect","https://ix.com.ar","https://www.linkedin.com/company/interconnect-s.a.","telecomunicaciones, datacenter, networking, infraestructura, consultoría, energía, climatización, seguridad, monitoreo, comunicaciones unificadas, redes de datos, transmisión, auditoría, proyectos, outsourcing, help desk, mantenimiento y certificaciones.","buenos aires"
"interoptics","https://icsred.com","https://www.linkedin.com/company/ics-interoptics","servicios profesionales, implementación de proyectos de red, proyectos de energía, redes corporativas, ftth y telecomunicaciones.","buenos aires"
"intertic sas","https://www.intertic.com.ar","https://www.linkedin.com/company/intertic-sas","kubernetes, contenedores, networking, azure, microsoft 365, office 365, proyectos, fibra optica, cableado, docker y project management.","buenos aires"
"iplan","https://iplan.com.ar","https://www.linkedin.com/company/iplan-argentina","telefonía, internet, it, cloud computing y managed & professional services.",
"is security","https://www.issecurity.com.ar","https://www.linkedin.com/company/is-security","outsourcing, seguridad informática, consultoría de ti, auditoría, capacitación en tecnología y administración de riesgos de ti.","buenos aires"
"it maker","http://www.itmaker.com.ar","https://www.linkedin.com/company/itmakerarg","business intelligence, qlikview y qlik sense.",
"it nexo","http://itnexo.com/ar","https://itnexo.com/ar","soluciones informáticas.",
"it patagonia","https://itpatagonia.com","https://www.linkedin.com/company/itpatagonia","consultoría y desarrollo de software, qa & testing, software factory, provisión de profesionales it, business process outsourcing (bpo), business intelligence, infraestructura, data center services, ux/ui, agile, projects & processes, staffing, banking, finances, healthcare, transport, process optimization, consultancy, cloud y design.","buenos aires"
"it rock","https://www.itrock.com.ar","https://www.linkedin.com/company/itrock","software development, marketing digital, seo, html5, php, laravel, mysql, amazon web services, linux, responsive design, ux/ui, sem, react, nodejs, react native, java script, software builder, mockups, docker, devops, mobile app, sql server, mongo db, angular, javascript, typescript y python.",
"itoss","https://itoss.ar","https://www.linkedin.com/company/itoss-app","servicios y consultoría de ti.",
"itr","https://www.itrsa.com.ar","https://www.linkedin.com/company/itresources-sa","soluciones informáticas, búsqueda y selección, staffing de profesionales (subcontratación), monitoreo de incidencias, licencias de software, desarrollos a medida, consultoría, capacitación, diseñoux/ui, designthinking, e-learning, automatización de procesos, transformación digital, testing automatizado, testing & qa y inteligencia artificial.",
"itris software","https://itris.software","https://www.linkedin.com/company/itris-software","erp, retail, technology, software, pos y hogar.",
"itsm","https://www.itsmconsulting.com.ar","https://www.linkedin.com/company/it-sm-consulting-s-a-","consultoría y selección de perfiles it y generalistas., planes de formación de jóvenes profesionales (tutores/tutorados)., talleres de conducción, liderazgo, trabajo en equipo, conducción de proyectos., tercerización de áreas de rrhh., desarrollo del talento, capacitacion, outsourcing, staffing, taller de liderazgo, tercerizacion, rrhh, consultoria de rrhh, recruiting it, seleccion de recursos y seleccion it.",
"janax","https://janaxit.com.ar","https://www.linkedin.com/company/janax-it","servicios y consultoría de ti.",
"jedify","https://jedify.io","https://www.linkedin.com/company/jedify","servicios y consultoría de ti.",
"join solutions","http://www.joinsolutions.net","https://www.linkedin.com/company/join-solutions","software, angular, node, powerbuilder, react, vb, c#, sql server, react, php, informix, sybase, mysql, agile, scrum, safe, design thinking, lean, itil, aws, azure, gcp, vue, net core, ai, inteligencia artificial, odoo, odoo para grandes empresas, sig, sigii, pmo, presmed, cyp, rbo, claude, copilot, n8n, databricks, ia y python.",
"kaver","https://kaver-consulting.com","https://www.linkedin.com/company/kaver-consulting","outsourcing, staffing de profesionales it, busqueda y selección, recruiting de profesionales it, rrhh, externalización de profesionales it y consultoría it.",
"ketos delphin","https://ketos-delphin.com","https://www.linkedin.com/company/ketos-delphin","búsqueda y seleccion de recursos de it, outsourcing de talentos de it , proyectos de rpa, sap, oracle, soporte de infraestructura (micro, media, alto), informe de salarios del mercado de it, fabrica de software (abap, java, net, js), celulas de innovación digital, bpo , gestión de talentos de it y implementación, soporte, mantenimiento aws, azure, gcp.","buenos aires"
"knowment","https://knowment.net","https://www.linkedin.com/company/knowment","agile, lean, coaching, consultoría en dirección de proyectos, capacitación y entrenamiento, metodologías ágiles, facilitación, serious gaming, scrum, design thinking, management 3.0, kanban, liderazgo, gestion del cambio, transformació organizacional, dirección de proyectos, gestión por proyectos, liderazgo ágil, rediseño organizacional y hr.",
"kuru","https://www.kuru.la","https://www.linkedin.com/company/kuru-la","servicios financieros.",
"lakaut","https://www.lakaut.com.ar","https://www.linkedin.com/company/lakaut-s.a","servicios y tecnologías de la información.",
"lambda sistemas","https://www.fierro.com.ar","https://www.linkedin.com/company/sistema-fierro","desarrollo de software.","buenos aires"
"lancefleet","https://www.lancefleet.com","https://www.linkedin.com/company/lancefleet","it recruiting, talent hunting, reclutamiento it, sap consultants, grc, best practices, hunting, programas de identidad y valor, recursos humanos, consultoria, outsourcing, marca empleadora, propuesta de valor al empleado, rpo, selección y executive search.",
"leafnoise","https://leafnoise.io","https://www.linkedin.com/company/leafnoise","despapelización, firma digital, procesos, trámites, erp, flujos, transformación digital, innovación, expediente electronico, workflow, banca, crm, automatización de procesos, form builder, flow builder, ibpm, bpm, gestor documental, inteligencia artificial, machine learning, pymes, rse, automatiza y datos en tiempo real.","buenos aires"
"lemondata","http://www.lemondata.com.ar","https://www.linkedin.com/company/lemondata_4","software factory, desarrollo de soluciones a medida, integración de ti y capacitación metodologías agil.",
"lightech","https://www.lightech.biz","https://www.linkedin.com/company/lightech","information security services, soc, check point, f5, rsa, siem, vulnerability management, perimeter security, identity assurance, application security, cloud security, cybersecurity, mssp y latinamerica.",
"link solution","https://www.linksolution.com.ar","https://www.linkedin.com/company/linksolution-srl","mesa de ayuda, asistencia al cliente, consultoría tecnológica, soporte técnico on site, provisión de hardware y software, administración y monitoreo de redes, administración de sistemas operativos, telemarketing, encuestas, ventas y cobranzas.",
"logia solition","https://logiasolution.com","https://www.linkedin.com/company/logia-solution-ar","ciberseguridad, ia, storage, cloud híbrida, infraestructura, lenovo, inteligencia artificial, gestion de proyectos it, it, estrategia it, microinformática, soluciones it, implementación, nube, edge, nube híbrida, iot, logística, almacenamiento, arquitectura it, seguridad it y detección de amenazas.","buenos aires"
"logicalis","https://www.la.logicalis.com/es","https://www.linkedin.com/company/logicalis-latam","soluciones it, hybridcloud, transformación digital, managed services y servicios it/ot.","buenos aires"
"lucods","https://www.lucods.com","https://www.linkedin.com/company/lucods","inteligencia artificial, iot, gamificacion, software a medida, software enlatado, marketing, desarrollo plataformas web y automatizacion de procesos.",
"maiten","https://maiten.com","https://www.linkedin.com/company/maiten","virtualización & cloud computing, gerenciamiento de tecnología, infraestructura, business continuity & disaster recovery, networking, firewalls, conexiónes, cloud hibridas, ciberseguridad, seguridad informática, servicios it, proyectos it, gestión de proyectos it y transformación digital.",
"mandala tech","https://mandalatech.com.ar","https://www.linkedin.com/company/mandalatech","sectorit, busquedalaboralit, busquedait, outsourcingit, outsourcingdeservicios, ithunting, trabajoremotoit, recruitingai, busquedastechai, split de pagos, ticketera, billetera virtual, botón de pago, sistemas de cobros y pagos y fidelización.","buenos aires"
"mastersoft","http://www.mastersoft.com.ar","https://www.linkedin.com/company/mastersoft","software consulting, software engineering, software factory, outsourcing, erp, corporate solutions, .net, microsoft development y microsoft certified gold partner.",
"matrice","https://www.matriceconsulting.com.ar","https://www.linkedin.com/company/matrice-consulting","factory, research, consultoría, calidad de datos, comunicaciones y asuntos públicos.",
"medve","https://www.medve.com.ar","https://www.linkedin.com/company/medve-software-solutions","desarrollo app web, desarrollo app smartphones, desarrollo app desktop, hosting, infraestructura y mantenimiento y mvc - wpf - wcf - sql.","buenos aires"
"megatech","https://megatech.la","https://www.linkedin.com/company/megatechla","it solutions, contact center, outsourcing, servicios profesionales, soluciones de impresion, productos tecnológicos, help desk, delivery de servicios, printing solutions, monitoreo de servidores, administracion de servidores, apps4u, fichaje, consultoría, acceso remoto, chatbot, asistente virtual, desarrollo web, desarrollo mobile, migración a la nube, saas, automatización de procesos, seguridad informática y software de rrhh.",
"menhir","https://www.menhir.com.ar","https://www.linkedin.com/company/menhir-sistemas","desarrollo de software a medida, provisión de rrhh para áreas informáticas y desarrollo de soluciones bioétricas.",
"mercadolibre","https://careers-meli.mercadolibre.com/es","https://www.linkedin.com/company/mercadolibre","internet, e-commerce, publicidad online, pagos online, marketing online, fintech, logística y envíos.","buenos aires"
"mercap","https://www.mercapsoftware.com","https://www.linkedin.com/company/mercap","it financial software, saas solutions for asset managers, smalltalk, finance, fintech, custody, treasury y portfolio management.",
