"nombre","web","linkedin","especialidades","ubicacion"
"quales","https://www.qualesgroup.com","https://www.linkedin.com/company/quales-group","data strategy, data maturity, business intelligence, data visualization, advanced analytics, big data, data science, machine learning y artificial intelligence.",
"qualis lab","https://qualis-lab.com","https://www.linkedin.com/company/qualis-lab","automation, testing, stress test, consulting, ux/ui testing, vulnerability testing, process automation, mobile testing, assessments, a/b testing, qa, coaching & capacitaciones, software qa, user testing, salesforce y ia.",
"quickpass","https://quickpasshr.com/ar","https://www.linkedin.com/company/quickpasshr","sistemas de identificación de personas, sistemas de tiempo y asistencia, desarrollo de soluciones biométricas, rrhh, recursos humanos, reloj control, control de asistencia, software de asistencia, control biométrico, control de acceso, asistencia de personal, data science, registro de asistencia, trabajo a distancia, liquidación de horas, manejo de documentos, firma digital, firma electrónica, software de recursos humanos, evaluación de desempeño y portal del empleado.",
"quilsoft","https://www.quilsoft.com","https://www.linkedin.com/company/quilsoft","cloud, staff augmentation, odoo, gestión de activos, ecommerce, omnicanalidad, gestión de proyectos, gestión de salud, crm y partner odoo.",
"readymind","https://www.readymind.ms/es","https://www.linkedin.com/company/readymind-it","implementaciones de infraestructuras, plataformas, sistemas unificados, liderazgo y management de proyectos, migraciónes de ambientes, sistemas operativos, servidores y consultoría informática en microsoft 3er. nivel.","buenos aires"
"recursiva","http://www.recursiva.global","https://www.linkedin.com/company/recursiva","software factory .net, software factory jee, outsourcing, desarrollos mobile, consultoría & mentoring, capacitación, ibm wesphere message broker, soa, sap pi, ibm integration bus, oracle service bus, jboss fuse, integración, integración sap, integración de aplicaciones, react, angular, rpa, automatizacion, procesos y abap.",
"redjar","http://www.redjar.com.ar","https://www.linkedin.com/company/redjar","soluciones con ia , infraestructura y soporte, desarrollo de software, consultoría tecnológica, diseño y prototipo, migración y actualización y ciencia de datos.","santa fe"
"rmr","https://www.rmrconsultores.com","https://www.linkedin.com/company/rmrtechnology","consultoria, automatizacion, transformacion digital, rpa, sap, robotizacion, eficientizacion de procesos, inteligencia artificial y soluciones digitales.",
"ryaco","https://ryaco.com","https://www.linkedin.com/company/ryaco","desarrollo de software.","buenos aires"
"scd","https://www.scd.com.ar","https://www.linkedin.com/company/scd-servicios-informaticos-srl","soporte e instalaciones, seguridad informática, consultoria informática, auditoría informática, monitoreo preventivo, tercerización de servicios, virtualización de servicios y licenciamento de software.",
"seac","https://www.seac.com.ar","https://www.linkedin.com/company/gruposeac","soluciones fintech, ingeniería electrónica, servicios y refurbishment y redes transaccionales.","buenos aires"
"securetia","https://www.securetia.com","https://www.linkedin.com/company/securetia","seguridad de la información, seguridad informática, análisis de vulnerabilidades, ethical hacking, informática forense, seguridad web, penetration test, bcra 4609, threat intelligence y ciberseguridad.",
"seidor consulting","https://www.seidor.com","https://www.linkedin.com/company/seidor","consultoría, tecnología, consultoría tecnológica, consultoría de integración de sistemas, outsourcing de tecnologías de la información, outsourcing, outsourcing de procesos de negocio, consultoría digital, transformación digital, ciberseguridad y cloud.","buenos aires"
"serdata","http://www.serdata.com.ar","https://www.linkedin.com/company/serdata-sa","auditoría farmacéutica, captura masiva de información desde papel o imágen, búsqueda, selección y/o provisión de recursos humanos y consultoría informática en desarrollos de aplicaciones.","buenos aires"
"servicios computables","https://www.scmp.com.ar","https://www.linkedin.com/company/servicios-computables","desarrollo de software.","buenos aires"
"sgb","https://www.sgb.com.ar","https://www.linkedin.com/company/sgb-information-services-s-a","desarrollo de sistemas, riesgo crediticio, oficios judiciales, software factory, sistema financiero, bcra y tecnologia .net.","buenos aires"
